,문장
73,"====보도연맹 우익 학살 앞장서자 국군이 예비검속… 억울한 희생 이어져[6.25전쟁 70주년] 김재동 목사의 잊지 말아야 할 그때 그 역사 <11>국민일보2020. 5. 28. — 대한민국 정부는 ‘좌익사상에 물든 사람들의 사상을 전향시켜 이들을 보호하고 인도한다’는 취지에 따라 공산주의에서 전향한 좌익을 통합·관리하기 위해 1949년 6월 국민보도연맹이라는 단체를 조직했다.문제는 6·25전쟁 발발 3일 만에 인민군에 의해 서울이 점령당하면서 보도연맹원들의 상당수가 다시 전향해 인민군에 부역하며 우익색출 및 인민재판에 앞장섰다는 것이다. 당시 서대문형무소와 마포형무소, 인천형무소에서 나온 9000여명의 남로당원과 보도연맹 가입자는 인민위원회를 조직하고 인민재판을 통해 양민을 학살했다."
74,"역사 구라쟁이 황현필, 이제 들통다났는데, 아직도 이런게 먹힐거라 생각하냐?"
75,미시경제어떻게생각하냐  - dc App
76,"====그땐 평양서 효리·젝키 공연, 평창엔 북한 걸그룹 오나요한겨레광고의 주인공은 당시 최고 인기를 누리던 가수 이효리씨와 북한 만수대예술단 소속 무용수 조명애씨. 조씨는 2002년 부산 아시안게임에 북쪽 응원단으로 와 큰 관심을 ...====흑금성 사건나무위키흑금성은 북한을 방문했을 때 김정일을 직접 만났다고 알려졌으며[21] 장성택을 ... 이효리와 북한 배우 조명애가 각각 나와 광고가 촬영되어 상영되었다. 실제 광고 ..."
77,민주당 러브콜 각 아니냐
78,이효리 결혼 했어
79,부산횟집 식비 나 공개 해라 석열아~~~
80,영수증 없는 특활비나 어디다 썼는지 내놔봐라
81,당연히 김건희 수사와의 형평성 문제가 제기될 수밖에 없는 상황인데...이렇게 되면 잊고 있던 사람들도 다시 김건희 특검문제를 생각할 수밖에 없는데. 김건희 특검 이슈를 계속 끌고 가야 하는 민주당 입장에서는 동력을 얻게 되는 것 같은데. 검찰이 너무 어설픈 판단을 하고 있군.
82,이제 꺼리도 없나보네. 총선 대비해 고작 꺼낸게 김혜경법카. 유동규 계양출마? 그리고 2년 가까이 지났으면 좀 다른거라도 찾았어야지 아직도 7만8천원 가지고 이러는거야? 하루가 멀다 하고 나오는 애는 나중에 어떡하려고?
83,원희룡 법카 압색안하네 ㅋㅋㅋ
84,윤 두 창
85,두 창 견
86,응 천만원 ㅋㅋㅋ
87,윤석열 검찰총장 시절 2년 안되는 동안의 특활비 147억 행방부터
88,그리고 언론과 검찰의 유착 보도망신주기성 선택적 보도를 언제까지 지켜봐야할까300만원 넘는 디올백 수수건은 다루지도 않으면서
89,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
90,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
91,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
92,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
93,ㅋㅋㅋㅋ
94,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
95,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
96,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
97,ㅋㅋㅋㅋㅋㅋ
98,역대급완승 예상됨  - dc App
99,이재명 때문에 실패 안타깝노  - dc App
100,절라도것들은  더듬어 넘들이 무슨짓을 하던  무조건 찍어주니까
101,다부러공산당
102,ㅋㅋㅋㅋ  - dc App
103,다른걸 떠나서 국민 안심시키려 녹음해놓은거 방송에 틀어재끼면서는 지 혼자 살겠다고 피난길에 다리 끊어버려 피난민 다죽게 만든 짐승임
104,다케시마를 군대없어진 일본 상대로 무력으로 점거해서 뺏어온것부터가 인성이 덜됐음
105,"1타강사 전한길, 건국전쟁 안 봤으면 나대지마 ㅋㅋㅋㅋㅋ"
106,맞지  - dc App
107,황교익 팩트라 반박 못하겠다 조국은 이미 여론 나쁜데 ㅋㅋㅋ
108,검찰발 언론플레이?
109,엠빙신은 왜저래?
110,개딸들 정신병 걸림??? ㅋㅋㅋㅋㅋㅋ 김인섭 김용 정진상 윗선이 누규????
111,고물가 내버려둔 것은 벌받아야지 - dc App
112,====[에디터픽] 푸틴의 은밀한 조력자... 그리고... ‘살벌한’ 경고 / YTN YTN구독자 433만명11시간 전....https://youtu.be/kYV3yo6smZ0
113,이분 정잘알이네
114,ㄹㅇ
115,재한조총련 부정선관위가 주최하는 세기와더불어우리북한당 나견이&리중공돌 중공의힘의 야사우사기 프로레스링 연쇄부정선거반란
116,민주당도 이민청 추진공약이었다 똥걸레 중에 하나다 찍을당이 없다
117,일본은....아베..암살범의...모든것을..다..공개했는데.....
118,"보자니 봉하마을서 찍혓다는 영상의 찌르는 동작도 연출에 의한 연기로 보이던데...생명기 시술후에, 돼명이를 생명살 할려고 쫒아댕김서 예행연습까정 햇다는 증거영상으로 보여줄려고 부러 찍었거나 찍힌 연기영상"
119,"영국 이코노미스트 ""윤석열정권 경제성적, OECD 2위"" https://www.joongang.co.kr/article/252157251찍은 아직도 조국 찢 빨아댐???"
120,민주당놈들 41%가 전과자..문재앙 나라빚 1000조원 만들어 놓고 도주.
121,찢재명 부터 어떻게좀 하고 2찍 거려라. 찢이나 지지하는 수준이 남한테 뭐라하면 안된다
122,글만 보면 2030인줄 알거아냐ㅋㅋㅋㅋㅋㅋㅋㅋ
123,글투는 열심히 젊은티 내려고 애썼는데 역시 뇌에 구멍이 있어서 어쩔ㅜ
124,그냥 트롯트 아줌 부대라고 보면 됨
125,조국 송영길 찢 ㅋㅋㅋㅋㅋ 범죄 어벤저스 ㅋㅋㅋㅋㅋ
126,이게뭐하는짓거리다냐  - dc App
127,틀딱들 홀리는 오컬트 의식이냐 뭐냐ㅋㅋ
128,북한스러워
129,헐 ㅋㅋㅋ
130,실화냐? ㅋㅋ
131,헐 국민들이 생각하는게 현실이었네
132,총선끝나면 100% 특검
133,대통령이 공영방송에서 뇌물 수수 범죄 인정한거니?
134,신천지???  - dc App
135,"https://youtu.be/vsQXcQsL0nk?si=7gi8wic2qUYgfVwd""이 세상은 '금수대도술'에 지배되어 있다"""
136,ㅈㄹ하네
137,ㅈㄹ
138,조별예선에서 4강까지 90분 경기 결과 1승4무 1패 ㅋㅋㅋㅋㅋㅋ잘한거냐?ㅋㅋㅋㅋ
139,얜 말을 진짜 못함 ㅋ
140,얼굴에 연탄칠하고 머하노 ㅋㅋ
141,너도 할일도  없다   - dc App
142,윤두창 한테 똥꼬 대주는 맛있는 새끼 ㅋㅋㅋㅋ  - dc App
143,이게 뭔말인지 민주당처럼 이해 못하네 ㅋㅋ
144,억지 공격이란다. 지가 원인 제공하고 불 질러놓고. 뻔뻔한 새끼.ㅉㅉ  - dc App
145,일부러 병신 소리하네 ㅋ 병신 새끼가 ㅋ  - dc App
146,미친놈이노 - dc App
147,할말이 없으면 일단 말을 많이 한다
148,김경재 최대집 송영길 대통령ㅋㅋㅋㅋ 엌ㅋㅋㅋㅋㅋ
149,변가놈은  좌우양쪽에서 퇴출시켜야
150,"김경재 대통령 설은 빤쓰가 먼저 했다.  ""미래 대통령 김경재로 하나님 계시를 받았다"" 고 ."
151,관봉권아줌마는 누구한테 관봉권받았는지나 수사해. 관봉권주라고 명령한 그 새끼도 친북일껄?
152,박근혜는 없는죄로 굴비짓 하더니  - dc App
153,한동훈은 계속 자멸수를 두는구만
154,슬픈늑대 ㅋㅋㅋㅋㅋ
155,자업자득
156,공작에 또 당한다.그놈이 하야할 놈리냐.얼마나 속아야 돼.
157,식물 대통령되는건 기정 사실
158,조국 이 인간 2심에서 2년형의 집행을받은 허접한 인간이 현직 대통령에게 특별한 내용도없이 하야를 논하다니 이는 처벌의 대상으로 봐야한다
159,ㅎㅎㅎ - dc App
160,'부정선거 불의를 보고서도 일어나지 않는 백성은 죽은 백성이나 다름이 없지. 불의를 보면은 일어나야 해.'
161,ㅋㅋㅋ
162,제일껌
163,'관악 보궐선거 500표 조금 더 받은 거' <<< 퍼센티지로 치면 0.74%ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 영점칠사 ㅋㅋㅋ
164,노 차이나 한다더니 중국제품 판매1위  - dc App
165,노재팬해도 가성비가 좋으니까 그랬겠지. 그리고 대부분이 경상도애들이 간거임 등신아.   - dc App
166,밥은?  - dc App
167,잠은?  - dc App
168,대답 해라 최성엽  - dc App
169,2찍이들이 많이놀러갔구나 ㅋㅋㅋ
170,2찍 토착왜구들이 일본가서 1위 만들어 준거잖아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
171,일뽕들이나 가지 국뽕새기들이 가겠냐?
172,한동훈이가 박그네 비판하나 부다~!박그네 정계 관련안한다는 말 믿지마라~!
173,ㄹㅇ
174,으읏
175,힐 신었네ㅋㅋㅋㅋㅋㅋ
176,ㅋㅋㅋㅋㅋㅋㅋㅋ
177,대박
178,연쇄역사조작반란+연쇄부정선거반란=연쇄쌍끌이반란의 공범인 세기와더불어우리북한당 & 중공의힘 반역매국노들
179,기득권 패악질이 극에 달했다언론 장악해 한쪽입장서 선동호도 일삼고 정부 중립기조 다 무시한 채 오로지 일신 안위+기득권 보호 위한 국정 기조
180,"문 재인은 영끌 신조어 만들며부동산 폭등시키더니 청년층을 골로 보내고 있다.함량미달의 문재인, 윤석열."
181,의료 수준 저하를 가져오고 병원 장비등 부수적인 준비가안된상태에서 교육 부실 상대적 다른 분야 생태계 마져 파괴 시키고 당사자에 엄청난 혼란을 야기 시킨다. 즉흥적인 정책 대상이 아니다.한마디로 의료 파괴일뿐 윤 석열 앞엔 모두 파괴다.
182,선진국 의대정원은 매우 엄격하다.어려운 공부로 그들의 파이를 인정해 준다.엄청난 돈과 노력을. 결코 무시하지 않는다.즉흥적으로 접근할 문제가 아니다.노무현이 로스쿨 만들더니 윤 석열이 의료계박살내네.
183,신천지 선거개입 지시 https://n.news.naver.com/article/079/0003861441?cds=news_edit
184,의사부족으로 잘한거라는 사람들의사를 일용직 수준으로 만들려는사회주의적 발상. 어차피 의사는 대도시에 집중된다.
185,어짜피 총선 끝나면 흐지부지 된다. 여론 선동용 공약에 불과하다 한두번이냐...
186,폼 빠짝스긴했지 ㅋㅋ
187,신천지 선거개입 지시  https://n.news.naver.com/article/079/0003861441?cds=news_edit
188,국짐 청년정치 수준ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
189,서민 씨 큰일이네ㅋㅋㅋㅋㅋㅋㅋ
190,아이고 ㅋㅋㅋ
191,이후로 줜니 조용~ 언급도 없음ㅋㅋㅋㅋㅋ
192,님이 윤두창 정말 잘 패시네
193,이건  대찬성  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
194,상속세 다 내는데 뭔 디스카운트 ㅋㅋㅋㅋㅋ상속세 안내봤냐 1찍아
195,사리분별 못하는 2찍들 때문에 코리아디스카운트 초래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
196,사법 체계가 완전히 붕괴된 나라
197,김경재 조원진 최대집 송영길ㅋㅋㅋㅋ하나같이 변뚱가까이하다 폭망했넼ㅋㅋ
198,박근혜 홍준표 이재명 등 양당 주류 정치인들한테 들러붙고 싶어서 온갖 어그로 관종짓해도 상종도 안해주고 인간취급도 안해주고 욕만쳐먹는거 실체만 다 들키니깐누가 지 이름 언급만 해주면 황송해서 절대 찬양ㅋㅋㅋㅋㅋ무조건 대통령 만들수 있다며 돌대가라 할매들 가스라이팅 돈 뜯는 치트키로 써먹는거지교주님이 점지해주면 대통령도 되고 온 우주 미국 북한 세계 질서 태블릿으로 다 움직일수 있다고 세뇌당한 정신병 미친년들임   - dc App
199,변희재 왜까냐???  우파쪽에 있지도 않는데  프로분탕러 변희재 좌파 쪽에  자리 잡고 있어서 너무  좋다~~  좌파끼리  쌈  존나 하더라 ㅋㅋ
200,세상 물정 모르는것이 정치 하겠다고 설치하고 있으니
201,개표까정 5일이니 걸리는 전세계서 젤 느린 부정선거거북이 사전선거 + 전세계서 젤 빠르다는 부정선거토끼 전자개표기 = 재한조총련 부정선관위가 주최하는 세기와더불어우리북한당 & 중공의힘의 야바우사기 프로레스링 블랙코미디 남한선거판
202,지랄
203,ㅋㅋㅋ 잘그렸노
204,까치발은 무슨 까치발이요??
205,똑똑 택배왔습니다.ㅋㅋㅋㅋㅋㅋㅋ
206,입장료가 기본 수백만원짜리 명품백?ㅋㅋㅋㅋㅋㅋ
207,참 x랄도 풍년이네ㅋㅋㅋㅋㅋ
208,스벅 가는 당신들은 이제 중산층이상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
209,월급으로는 못가고 특활비로만 가는 곳인가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
210,ㅋㅋㅋ변뚱을  믿었음?
211,변희재 탈출은 지능순
212,국회로 보내주라.머저리들 보내지 말고메기를 넣어보자.
213,꼬우면 1인 시위라도 하던가 병신아 변희재에 부들부들하는 병신 수박새끼랑 두창견새끼들 3~4마리끼리 다중질에 개념주작질하고 자빠짐 ㅋㅋ
214,항상 선거때만 되면 신당 어그로 출마쇼로 이중삼중 후원금 구걸하러 다니는게 주특기인데 뭘  다 예상하던일 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 돌대가리 정신병자 거지할매들  돈만 털리겠지 지들 돈 없으니깐 또 들러붙으려고 바퀴벌레처럼 기어나올거고   - dc App
215,"무죄추정의 원칙도 모르냐 니가 판사야 뭐야ㅋㅋㅋ최소 몇년 확정적 ㅇㅈㄹ 두고보면 알 일. 주댕이 함부로 놀리지마. 니 주댕이로 쏜 화살, 그대로 너한테 날아와 박힌다   - dc App"
216,저놈 특징이 조금만 틀어져도  마치 사람안볼것처럼 인신공격해대는 습성이 있음 보수에서 끊임없이 그짓하다 퇴출당함
217,ㅋㅋㅋㅋ  - dc App
218,닭그네와 다정한 투샷인가..
219,우리 북한 빨갱이 ㅅㅋ가 야당대표 ㅋㅋㅋㅋㅋㅋㅋ 기가 차네 ㅋㅋㅋㅋ
220,사실 아님?
221,https://www.lawtimes.co.kr/news/191476 제대로 읽고 오세요 재판부가 구체적으로 뭐라고 했는지
222,구체적인 사유를 확인하세요 ㅇㅇ
223,진보좌좀 년넘들은 북한에 뭐 약점 잡혔냐?
224,"주둥이만 열면 민주타령, 독재타도 외치는 진보좌좀 년넘들  북한 독재자는 절라 좋아함,  병신들"
225,현재진행형인 연쇄역사조작반란의 공범인 세기와더불어우리북한당 수석북괴군 돼명이와 중공의힘 수석뿌락치 모택동훈의 6.25전쟁 역사공방...
226,온세상이 아주 빨갱이다 참 힘들게 산다
227,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
228,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
229,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
230,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
231,ㅋㅋㅋㅋ
232,ㅋㅋㅋㅋ
233,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
234,ㅋㅋㅋ
235,ㅋㅋㅋㅋㅋㅋㅋㅋ
236,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
237,ㅋㅋㅋㅋㅋㅋㅋㅋ
238,ㅋㅋㅋ
239,ㅋㅋㅋㅋㅋㅋ
240,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
241,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
242,재한조총련 예비북노예 예비조선족 동포들아~ 석열이 건히 모택똥훈이 다 느그편 빨갱이뿌락치 간첩들이다
243,"====""부정선거 막을수 있나?""에 대한 답변 충격적 [한성천 前 중앙선관위 노조위원장]이봉규TV구독자 86.7만명3시간 전....https://youtu.be/ksYOLBoDTB0"
244,미국은 동맹이라고 해놓고 정작 무기만 팔아먹고 자기네들의 무기 과학 기술은 전수도 안해주는게 팩트야 누가 우방인지 분간이 안되냐?
245,윤석열은 탄핵당하고 하야 당해도 싼놈임. 지금 하는 꼬라지를 보면
246,러시아 자체에 대해서는 고마운것에 동의하는데 푸틴같은 독재자는 아님. 그리고 군사기술을 러시아가 한국에 헐값에 넘겨준것은 미국에게 혼줄이 나서 경제적으로 힘들기 때문이엇다는 것도 작용한 것임. 즉 러시아가 무너지면서 러시아가 먹고 살기 힘들자 자국의 과학 기술도 팔 생각을 한 것임
247,그러하다
248,변똥은 다른거 필요없이 변똥이 나불댔던 말로 패주면됨
249,준슥이 ㅋㅋㅋㅋㅋ
250,확실히 준석이 전투력이 ㅎㄷㄷ함
251,리중공돌 모택똥훈의 프로레스링
252,NYT 에 등장 성공 했다.Dior Pouch Gall.
253,박쥐 변희재
254,논객은 제대로 사실을 알려줘야된다면서 타방송과 지방송에서 하는 말이 정반대임ㅋㅋㅋㅋ
255,YS : 박근혜는 칠푼이 ㅋㅋ JP : 박근혜는 향단이 ㅋ
256,저 ㄷㅅ련 저딴련이니 탄핵당하지ㄷㅅ인게 얼마나 퍼졌길래 두창새끼나 가발새끼나 대놓고 저러냐ㅋ
257,"====김정은의 한마디에 주사파들 심각한 내분, 왜? - 2월 2일 클립차명진TV구독자 12.5만명14시간 전...https://youtu.be/TYwjm6Ph9-o"
258,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
259,ㅋㅋ
260,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
261,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
262,이게 윤석열 제일 헛소리였음 ㅋㅋㅋ 근데 생각보다 안 커지더라
263,똑똑하기만 하구만 왜 그래?  억까도 이런걸 억까하는 걸 보니 정말 깔게 없는 모양이군 ㅋㅋㅋ - dc App
264,ㅋㅋㅋㅋㅋ
265,ㅋㅋㅋㅋㅋㅋ
266,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
267,ㅋㅋㅋ
268,ㅋㅋㅋㅋㅋㅋ
269,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
270,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
271,ㅋㅋ
272,ㅋㅋㅋ
273,ㅋㅋㅋㅋㅋㅋㅋㅋ
274,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
275,ㅋㅋㅋ
276,나라 망신 ㅋㅋㅋㅋㅋ
277,근데 너 어짜피 국짐대선후보로 가발놈이 되면 찍을거잖아ㅋ 윤두창도 찍은놈이
278,김중공인 리중공돌의 중공의힘....그리고 중공의힘 수석뿌락치부역자 모택동훈
279,주변에 쟤네 전부 동원된 당원ㅋㅋ
280,왼쪽앞에 키작고 얼굴 흰애는 수행보좌관인데?
281,뭐야 나 구리시 사는데 많고 많은 시장중에 왜 구리시장 옴?  - dc App
282,당연하지 지도 해먹으려고 별 잡소리외치며 연동형무새짓하는거
283,변똥 태블릿재판 다지니까 자기실체드러날까봐 정치권에 줄대려고 저짓중
284,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
285,똥돼지네와 중공의 남한정치판 자살들쥐떼 레밍화공작
286,또?
287,검찰 종특 ㅋㅋㅋㅋㅋ프레임 전환과 왜곡 ㅋㅋㅋㅋㅋㅋ
288,저거 볼 때마다 들은 생각인데 막상 설문조사는 응했는데 귀찮아서 저렇게 응답한거 아니냐? 난 저런거 안받아봐서 모르겠다.
289,모름 없음
290,한게 없으니
291,아무 생각 없을듯
292,그말이 맞다~!!아무생각없다~!!!!!ㅋㅋㅋ하하~!
293,연동형무새 ㅋㅋㅋㅋㅋ
294,변희재 반대로만하면 선거 이김
295,정신병자들 아니냐?ㅋㅋㅋㅋ
296,"그렇군요~.오늘 쉬게되어 볼일보러 이동중인데,덕분에 좋은 소식을 듣습니다. 두 대통령의 소통에 유감을 표하는 분들도 얼마간 있다고 들었어요.그럴만두 하지만 박통께서 만약에, 윤통 너희들은 상대도 안해줄거며 복수할거야 빼애액 이러시면 의연커나 큰인물이 아닌것 같아요."
297,올해는  악마같은 진보좌좀 년넘들 청소 시작의 원년.
298,박근혜가 한동훈 만난다고 한적은 없는데
299,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/rusiaukra/690762?recommend=1
300,"좋은 글 올려주셔 감사.취재원 보호라던가 우리가 모를만한 사정이jtbc에 있었을 수도 있었겠으나,당시에 쫌 이상하게 방송된 부분들도 있었죠.그건 그렇고 위의 본문내용을 변희재씨도 모르고 있진 않았을테고,진작에 알고 있었을것도 같지 않나요?"
301,테블릿을 7년 넘게 붙잡고 지금까지 해 온 그 공들이 변대표및 동지와 팬 분들에 적지 않게 있다고  봅니다.다만  변팬분들도 변대표의 주장들을 모은 책이 진실의 검이라던가 절대무기라는 생각은 재고 해 볼 때도 되었지 않나 싶습니다. 아니면 오류나 실수들은 없지않나를 되돌아 점검해 보는것도 좋을것도 같습니다.명검이 어떻게 탄생하는지 대략 아시잖아요.
302,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/stock_new2/8195821#comment_box
303,악시발  - dc App
304,웃기넹~!!!!!
305,민주당이 ㅂㅅ인 이유 https://m.dcinside.com/board/stock_new2/8195821#comment_box
